claim_topic,url,title,provenance_label,retrieved_2026-08-08
"PromptBase commission; agent-skill listings","https://promptbase.com/sell","Sell your Prompts | PromptBase",OFFICIAL,2026-08-08
"PromptBase referral fee; recent move","https://promptbase.com/blog/zero-fees","Sell With 0% Fees When You Bring The Buyer",OFFICIAL,2026-08-08
"n8n affiliate commission; payout terms","https://n8n.io/affiliates/","n8n Cloud affiliate partner program",OFFICIAL,2026-08-08
"Make affiliate commission","https://www.make.com/en/affiliate","Become a Make Affiliate",OFFICIAL,2026-08-08
"Poe creator monetization; payout threshold; countries","https://poe.com/pages/demos/creator-monetization","Creator monetization - Poe",OFFICIAL,2026-08-08
"GPT Store launch; supply; promised builder earnings; review/discovery","https://openai.com/index/introducing-the-gpt-store/","Introducing the GPT Store",OFFICIAL,2026-08-08
"GPT builder content rights; distribution license; removals; product-specific restrictions","https://openai.com/policies/service-terms/","Service terms | OpenAI",LEGAL,2026-08-08
"Prompt and AI-output copyrightability; human authorship","https://www.copyright.gov/ai/Copyright-and-Artificial-Intelligence-Part-2-Copyrightability-Report.pdf","Copyright and Artificial Intelligence, Part 2: Copyrightability",LEGAL,2026-08-08
"Agent Skills open format; portability; cross-product reuse","https://agentskills.io/home","Agent Skills Overview",OFFICIAL,2026-08-08
"MCP Registry role; downstream marketplaces; curation; security scope","https://modelcontextprotocol.io/registry/about","The MCP Registry",OFFICIAL,2026-08-08
"Vercel agents marketplace; unified hosting/billing/provisioning","https://vercel.com/blog/ai-agents-and-services-on-the-vercel-marketplace","AI agents and services on the Vercel Marketplace",OFFICIAL,2026-08-08
"Poe usage payouts; inference-cost coverage","https://creator.poe.com/docs/resources/how-we-cover-your-costs","How we cover your costs | Poe Creator Platform",OFFICIAL,2026-08-08
"n8n template library; evolving creator marketplace","https://docs.n8n.io/workflows/templates/","Use templates | n8n Docs",OFFICIAL,2026-08-08
"Zapier partner programs; creator sponsorship; no joining fee","https://zapier.com/l/partners","Official Zapier Partner Program",OFFICIAL,2026-08-08
"Zapier integration partner benefits","https://zapier.com/developer-platform/partner-program","Zapier Integration Partner Program",OFFICIAL,2026-08-08
"Official MCP Registry launch; subregistries; open catalog","https://blog.modelcontextprotocol.io/posts/2025-09-08-mcp-registry-preview/","Introducing the MCP Registry",OFFICIAL,2026-08-08
"Vercel marketplace launch details","https://vercel.com/changelog/introducing-ai-agents-and-services-on-the-vercel-marketplace","Introducing AI agents & services on the Vercel Marketplace",OFFICIAL,2026-08-08
"Poe creator payout model; variable per-message earnings","https://creator.poe.com/docs/resources/creator-monetization","Creator Monetization | Poe Creator Platform",OFFICIAL,2026-08-08
"Anthropic Agent Skills launch; org management; partner directory; trust warning","https://claude.com/blog/skills","Introducing Agent Skills",OFFICIAL,2026-08-08
"US Copyright Office summary announcement","https://www.copyright.gov/newsnet/2025/1060.html","Copyright Office Releases Part 2 of Artificial Intelligence Report",LEGAL,2026-08-08
"MIT software-license permissions and notice condition","https://opensource.org/license/mit","The MIT License",LEGAL,2026-08-08
"Apache-2.0 software-license terms and patent grant","https://www.apache.org/licenses/LICENSE-2.0","Apache License, Version 2.0",LEGAL,2026-08-08
"Anthropic skills; mixed open/source-available licensing","https://github.com/anthropics/skills","anthropics/skills: Public repository for Agent Skills",OFFICIAL,2026-08-08
"PromptBase creator ownership; buyer license; payment-agent and refund terms","https://promptbase.com/tandcs","Terms of Service | PromptBase",LEGAL,2026-08-08
"MCP project license transition","https://raw.githubusercontent.com/modelcontextprotocol/modelcontextprotocol/main/LICENSE","Model Context Protocol project LICENSE",LEGAL,2026-08-08
"OpenAI input/output ownership; non-uniqueness; restrictions","https://openai.com/policies/terms-of-use/","Terms of Use | OpenAI",LEGAL,2026-08-08
"Anthropic commercial input/output rights and API terms","https://www.anthropic.com/legal/commercial-terms","Commercial Terms of Service | Anthropic",LEGAL,2026-08-08
"Anthropic consumer output assignment; automated-access restriction","https://www.anthropic.com/legal/consumer-terms","Consumer Terms of Service | Anthropic",LEGAL,2026-08-08
"Anthropic pass-through/MCP usage-policy obligations","https://www.anthropic.com/legal/aup","Usage Policy | Anthropic",LEGAL,2026-08-08
"Agent Skills launch; open-standard update","https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills","Equipping agents for the real world with Agent Skills",OFFICIAL,2026-08-08
"Agent Skills package specification","https://agentskills.io/specification","Agent Skills Specification",OFFICIAL,2026-08-08
"Agent Skills client integration; .agents/skills convention; trust","https://agentskills.io/integrate-skills","How to add skills support to your agent",OFFICIAL,2026-08-08
