claim_topic,url,title,provenance_label,retrieved_2026-08-08
"PromptBase asset commission; prompt and SKILL.md sales","https://promptbase.com/sell","Sell your Prompts | PromptBase",OFFICIAL,2026-08-08
"Poe variable bot pricing; milli-cent authorization and capture","https://creator.poe.com/docs/server-bots/poe-bot-monetization-api-documentation","Bot Monetization API | Poe Creator Platform",OFFICIAL,2026-08-08
"Poe per-call payout and inference-cost coverage","https://creator.poe.com/docs/resources/how-we-cover-your-costs","How we cover your costs | Poe Creator Platform",OFFICIAL,2026-08-08
"Poe per-message and subscription-acquisition earnings; payout threshold and countries","https://poe.com/pages/demos/creator-monetization","Creator monetization - Poe",OFFICIAL,2026-08-08
"RapidAPI pay-per-use plans and overages","https://docs.rapidapi.com/docs/monetizing-your-api-on-rapidapicom","Monetizing Your API on rapidapi.com",OFFICIAL,2026-08-08
"RapidAPI 25 percent fee; payout; chargebacks","https://docs.rapidapi.com/docs/payouts-and-finance","Payouts and Finance | RapidAPI Docs",OFFICIAL,2026-08-08
"Coze user-message billing; public creator payout formula not verified","https://www.coze.com/open/docs/guides/subscription","Subscription | Coze Docs",UNVERIFIED,2026-08-08
"Replit hosted product pricing; no public template hosting-margin share found","https://replit.com/pricing","Pricing | Replit",OFFICIAL,2026-08-08
"Gumloop hosted credits and plans; no public creator hosting-margin share found","https://www.gumloop.com/pricing","Pricing | Gumloop",OFFICIAL,2026-08-08
"Hugging Face Spaces hosted demos","https://huggingface.co/docs/hub/spaces-overview","Spaces Overview | Hugging Face",OFFICIAL,2026-08-08
"Relevance AI free cloneable agent marketplace","https://marketplace.relevanceai.com/","AI Agent Marketplace | Relevance AI",OFFICIAL,2026-08-08
"Vercel agents marketplace; unified installation billing and provisioning","https://vercel.com/blog/ai-agents-and-services-on-the-vercel-marketplace","AI agents and services on the Vercel Marketplace",OFFICIAL,2026-08-08
"Patreon standard and legacy creator platform fees and processing","https://support.patreon.com/hc/en-us/articles/11111747095181-Creator-fees-overview","Creator fees overview | Patreon",OFFICIAL,2026-08-08
"Poe per-message and per-subscription earnings; payment adjustments","https://poe.com/pages/earnings-tos","Poe Creator Monetization Terms",LEGAL,2026-08-08
"n8n 30 percent net Cloud affiliate commission for 12 months","https://n8n.io/affiliates/","n8n Cloud affiliate partner program",OFFICIAL,2026-08-08
"Make 35 percent affiliate commission for 12 months","https://www.make.com/en/affiliate","Become a Make Affiliate",OFFICIAL,2026-08-08
"Character.AI paid plus subscription","https://character.ai/plus","c.ai+ | Character.AI",OFFICIAL,2026-08-08
"Character.AI creator content license and absence of compensation formula in terms","https://character.ai/tos","Character.AI Terms of Service",LEGAL,2026-08-08
"Illustrative US domestic card processing rate","https://stripe.com/pricing","Pricing & Fees | Stripe",OFFICIAL,2026-08-08
"Gumloop free community templates","https://www.gumloop.com/templates","Gumloop Templates",OFFICIAL,2026-08-08
"Hugging Face PRO Team and compute-hosting pricing","https://huggingface.co/pricing","Pricing | Hugging Face",OFFICIAL,2026-08-08
"Replicate hosted model demos","https://replicate.com/explore","Explore AI models | Replicate",OFFICIAL,2026-08-08
"Replicate pay-per-use inference pricing","https://replicate.com/pricing","Pricing | Replicate",OFFICIAL,2026-08-08
"AWS Marketplace agent PAYG contracts trials and private offers","https://aws.amazon.com/marketplace/solutions/ai-agents-and-tools","AI Agents and Tools in AWS Marketplace",OFFICIAL,2026-08-08
"OpenAI customer applications for end users; account and API-key resale restrictions","https://openai.com/policies/business-terms/","OpenAI Services Agreement",LEGAL,2026-08-08
"OpenAI prohibited and high-risk uses","https://openai.com/policies/usage-policies/","Usage policies | OpenAI",LEGAL,2026-08-08
"Anthropic powered products for users; resale restriction; customer responsibilities","https://www.anthropic.com/legal/commercial-terms","Commercial Terms of Service | Anthropic",LEGAL,2026-08-08
"Anthropic pass-through access; chatbot disclosure; high-risk and MCP requirements","https://www.anthropic.com/legal/aup","Usage Policy | Anthropic",LEGAL,2026-08-08
"Gemini API client age region paid-service and agentic responsibility rules","https://ai.google.dev/gemini-api/terms","Gemini API Additional Terms of Service",LEGAL,2026-08-08
"Google API end-user duties and prohibition on sublicensing or substantially identical API clients","https://developers.google.com/terms","Google APIs Terms of Service",LEGAL,2026-08-08
"Google generative AI prohibited uses","https://policies.google.com/terms/generative-ai/use-policy","Generative AI Prohibited Use Policy | Google",LEGAL,2026-08-08
"Anthropic consumer automated-access and resale restrictions","https://www.anthropic.com/legal/consumer-terms","Consumer Terms of Service | Anthropic",LEGAL,2026-08-08
"MCP Registry scope and downstream curation role","https://modelcontextprotocol.io/registry/about","The MCP Registry",OFFICIAL,2026-08-08
"MCP project license transition and limits","https://raw.githubusercontent.com/modelcontextprotocol/modelcontextprotocol/main/LICENSE","Model Context Protocol project LICENSE",LEGAL,2026-08-08
"Prompt copyrightability and output authorship","https://www.copyright.gov/ai/Copyright-and-Artificial-Intelligence-Part-2-Copyrightability-Report.pdf","Copyright and Artificial Intelligence, Part 2: Copyrightability",LEGAL,2026-08-08
