item,url,title,value,provenance_label,retrieved_2026-08-08
"OpenAI GPT-5 mini token pricing","https://developers.openai.com/api/docs/models/gpt-5-mini","GPT-5 mini Model | OpenAI API","Input $0.25/1M; cached input $0.025/1M; output $2.00/1M; function calling supported","OFFICIAL pricing page","2026-08-08"
"OpenAI GPT-5.4 mini token pricing","https://developers.openai.com/api/docs/models/gpt-5.4-mini","GPT-5.4 mini Model | OpenAI API","Input $0.75/1M; cached input $0.075/1M; output $4.50/1M; regional processing +10%","OFFICIAL pricing page","2026-08-08"
"Anthropic Claude API and consumer-plan pricing","https://www.anthropic.com/pricing#api","Claude pricing","Haiku 4.5 input $1/MTok; cache write $1.25/MTok; cache read $0.10/MTok; output $5/MTok; US-only 1.1x; consumer Free $0; rolling 5-hour limits with no fixed message count","OFFICIAL pricing page","2026-08-08"
"Google Gemini API token pricing","https://ai.google.dev/gemini-api/docs/pricing","Gemini Developer API pricing","Gemini 3.5 Flash-Lite standard input $0.30/1M cached $0.03/1M output $2.50/1M; Gemini 3.6 Flash input $1.50/1M cached $0.15/1M output $7.50/1M; free tier shown; output includes thinking tokens","OFFICIAL pricing page","2026-08-08"
"DeepSeek current model token pricing","https://api-docs.deepseek.com/quick_start/pricing","Models & Pricing | DeepSeek API Docs","V4 Flash cache hit $0.0028/1M input cache miss $0.14/1M output $0.28/1M; V4 Pro $0.003625/$0.435/$0.87; provider warns price increase planned","OFFICIAL pricing page","2026-08-08"
"Modal CPU GPU and memory pricing","https://modal.com/pricing","Modal Pricing","L4 $0.000222/sec; CPU $0.0000131/core/sec; memory $0.00000222/GiB/sec; no idle charge statement","OFFICIAL pricing page","2026-08-08"
"Cloudflare Workers request and CPU pricing","https://developers.cloudflare.com/workers/platform/pricing/","Pricing · Cloudflare Workers docs","Paid includes 10M requests and 30M CPU-ms/month; overage $0.30/M requests and $0.02/M CPU-ms; $5 minimum; docs recommend CPU limits against denial-of-wallet","OFFICIAL pricing page","2026-08-08"
"Vercel Functions usage pricing","https://vercel.com/docs/functions/usage-and-pricing","Vercel Functions usage and pricing","Portland $0.128/active CPU-hour and $0.0106/GB-hour; Pro invocations $0.60/M; Hobby includes 1M invocations; page updated 2026-06-16","OFFICIAL docs","2026-08-08"
"Railway compute pricing","https://railway.com/pricing","Railway Pricing","CPU $0.00000772/vCPU-sec; memory $0.00000386/GB-sec; Free $1/month after trial; Hobby $5 minimum with credits","OFFICIAL pricing page","2026-08-08"
"E2B sandbox pricing","https://e2b.dev/pricing","E2B Pricing","2 vCPU $0.000028/sec; memory $0.0000045/GiB/sec; Hobby free plus usage with one-time $100 credit; max 1-hour sandbox and 20 concurrent","OFFICIAL pricing page","2026-08-08"
"Daytona sandbox pricing","https://www.daytona.io/pricing","Daytona Pricing","vCPU $0.000014/sec; memory $0.0000045/GiB/sec; first 5 GiB storage free","OFFICIAL pricing page","2026-08-08"
"Modal Sandbox billing semantics","https://modal.com/docs/guide/sandboxes","Sandboxes | Modal Docs","Programmatic isolated containers use Modal compute/storage pricing; no separate fixed sandbox fee established","OFFICIAL docs","2026-08-08"
"Browserbase browser pricing","https://www.browserbase.com/pricing","Browserbase Pricing: Free $20 $99 or Custom","Free $0 with 1 browser-hour 3 agent runs and 15 min/session; Developer $20/month includes 100 browser-hours then $0.12/browser-hour","OFFICIAL pricing page","2026-08-08"
"Cloudflare managed-browser pricing","https://developers.cloudflare.com/browser-run/pricing/","Browser Rendering / Browser Run pricing","Free 10 browser-min/day; Workers Paid includes 10 browser-hours/month then $0.09/hour","OFFICIAL pricing page","2026-08-08"
"Hugging Face Spaces hardware subsidy","https://huggingface.co/docs/hub/spaces-gpus","Using GPU Spaces | Hugging Face","CPU Basic free; paid hardware billed by minute; free GPU upgrade/community GPU grants available; free hardware sleeps after inactivity","OFFICIAL docs","2026-08-08"
"Hugging Face PRO credits and ZeroGPU quota","https://huggingface.co/pricing","Hugging Face Pricing","PRO $9/month; 20x included inference credits; 8x ZeroGPU quota and highest queue priority","OFFICIAL pricing page","2026-08-08"
"Poe inference-cost coverage","https://creator.poe.com/docs/resources/how-we-cover-your-costs","How we cover your costs | Poe Creator Platform","Poe states intent to cover all model inference and other significant per-message costs; bot query API costs automatically covered; custom arrangements possible","OFFICIAL docs","2026-08-08"
"Poe per-message creator monetization","https://creator.poe.com/docs/resources/creator-monetization","Creator Monetization | Poe Creator Platform","Creators can set earnings flexibly per message in code; custom arrangements available; no universal percentage split on page","OFFICIAL docs","2026-08-08"
"Coze pricing and credits route","https://www.coze.com/open/docs/guides/pricing","Coze pricing documentation route","JavaScript-only page returned no dependable current numeric credit allowance; credit-gated platform precedent only","UNVERIFIED","2026-08-08"
"Replit plans and included credits","https://replit.com/pricing","Replit Pricing","Starter free with free daily Agent credits and up to 1 published project; Core $20/month annually or $25 monthly with $25 monthly credits; Pro $95 annually or $100 monthly with $100 credits","OFFICIAL pricing page","2026-08-08"
"Replit Starter quota behavior","https://docs.replit.com/billing/plans/starter-plan","Starter Plan | Replit Docs","Daily Agent credits reset daily up to a monthly cap; cloud credits reset monthly; one free published app goes down after 30 days","OFFICIAL docs","2026-08-08"
"OpenAI ChatGPT Free tier caps","https://help.openai.com/en/articles/9275245-using-chatgpt-s-free-tier-faq","ChatGPT Free Tier FAQ","Free tier model usage limited; GPT access pauses at current limit and resets in-product; separate tool limits; no fixed universal message count","REVIEW","2026-08-08"
